track_name,artists,tempo,energy,loudness,valence
Deixa Eu Sofrer - Ao Vivo,Henrique & Juliano,123.66,0.698,-5.157,0.691
Easy On Me,Adele,141.981,0.366,-7.519,0.13
Hua Hain Aaj Pehli Baar,Amaal Mallik;Armaan Malik;Palak Muchhal,155.892,0.729,-6.453,0.683
The Rumbling,SiM,144.852,0.878,-1.399,0.494
山海,No Party For Cao Dong,160.039,0.676,-10.49,0.286
Vermelhos de Ciclos,Samuca e a Selva,144.003,0.728,-6.071,0.59
ポップコーントーン,Shiritsu Ebisu Chugaku,170.064,0.954,-1.737,0.589
Test & Recognise - Flume Re-work,Seekae;Flume,109.769,0.579,-8.52,0.294
Azimuth,Goldie;James Davidson;Subjective;Lauren Norstrom,118.001,0.859,-5.947,0.802
Hustle Bones,Death Grips,110.015,0.982,-2.996,0.277
Reality,Lost Frequencies;Janieck,122.145,0.697,-7.887,0.602
Você,Os Paralamas Do Sucesso,144.438,0.382,-10.552,0.749
Sotta Sotta m,Sujatha,94.991,0.414,-11.214,0.401
Hot in It,Tiësto;Charli XCX,123.045,0.841,-5.08,0.717
Dance of the Masks,Andreas Vollenweider;Walter Keiser;Pedro Haldemann;Christoph Stiefel;Janne Schaffer;Fernando Fantini;Hans Bergström;Charly Fässler;Hanspeter Haas;Beat Briner;Daniel Pezzotti,99.586,0.573,-8.458,0.299
I'm Satisfied With You,Hank Williams,107.639,0.324,-12.326,0.963
Parasite Eve,Bring Me The Horizon,102.489,0.797,-5.464,0.232
Talking Body - Gryffin Remix,Tove Lo;Gryffin,114.962,0.895,-4.567,0.365
Враги сожгли родную хату,Vladimir Nechaev,110.437,0.266,-10.743,0.486
Mamisi kołysanka,Ewa Konstancja Bułhak,169.463,0.151,-14.883,0.666
Sira E Hou,Amrit Maan;Nimrat Khaira,77.892,0.549,-5.137,0.788
Ich mag kein Alkohol,Feine Sahne Fischfilet,171.966,0.966,-3.515,0.497
Ajab Si,KK,117.954,0.438,-8.411,0.58
THAT BITCH,Bea Miller,162.132,0.738,-2.164,0.626
Credi In Te,Patrizio Buanne,161.31,0.32,-11.921,0.106
Wavin' Flag - Black Chiney Remix,K'NAAN;Black Chiney,152.098,0.913,-6.246,0.694
Little Saint Nick - 1991 Remix,The Beach Boys,130.594,0.553,-9.336,0.971
Emotional,Flux Pavilion;Matthew Koma,149.85,0.865,-4.672,0.411
Salseiro - Ao Vivo,Vou Zuar,94.025,0.903,-5.27,0.869
The Curse of the White Demon,Nyctalllz,112.65,0.38,-14.322,0.0464
Siphon Then Slit,Magrudergrind,137.923,0.999,-4.912,0.0375
Misantropo a senso unico,Cripple Bastards,112.711,0.995,-3.143,0.169
I Can't Get Used To Being Lonely,George Jones,109.141,0.193,-14.424,0.51
Mega Star,Exaltasamba,146.906,0.684,-9.205,0.286
Body Farm,Miasmatic Necrosis,85.089,0.917,-5.394,0.483
Pop That Middle,Theodis Ealey,102.008,0.583,-6.7,0.666
Drop It Like It's Hot,Snoop Dogg;Pharrell Williams,91.977,0.622,-3.875,0.664
Bad Bad,Roy Woods,87.307,0.526,-7.985,0.122
Cozy Voltage,DGHTR,169.861,0.191,-15.109,0.45
The Sixth Station,Joe Hisaishi,77.936,0.0463,-25.773,0.0392
Cut Me Open,Balance And Composure,157.007,0.976,-4.772,0.336
Sígueme Y Te Sigo,Daddy Yankee,100.024,0.878,-3.604,0.662
Baby Shark,Pinkfong,115.056,0.886,-1.746,0.777
Star,Megan Thee Stallion;Lucky Daye,96.046,0.694,-5.053,0.327
Plegaria,Kiko Revatta,107.663,0.526,-6.87,0.577
When A Man Loves A Woman,Percy Sledge,97.941,0.272,-11.765,0.326
Fazendeiro de Apartamento,Cidade Verde Sounds,77.215,0.543,-7.983,0.499
Ishqam,Mika Singh;Ali Quli Mirza,100.017,0.839,-4.263,0.609
Ein Wunsch,K-Fly;Jamie Roseanne,139.927,0.64,-6.648,0.56
Frustums,Ochre,116.989,0.436,-14.365,0.204
Finding,Kiawasch Sahebnassagh,111.498,0.0189,-26.86,0.167
Insanity,Deathtune,198.467,0.994,-2.167,0.325
Nível de Carência,Pablo,130.9,0.689,-4.824,0.617
Like a Movie feat. Haexxa,Alfred Heinrichs;Haexxa,140.004,0.491,-8.013,0.143
It's The End Of The World As We Know It (And I Feel Fine),R.E.M.,205.528,0.894,-8.638,0.797
Maddest Life,Rygin King,100.147,0.62,-6.778,0.36
Sugnadha Neerala - From “Friday”,Najim Arshad;Gayatri Ashokan,94.915,0.309,-10.558,0.34
I Guess I Just Feel Like,John Mayer,159.952,0.483,-9.102,0.166
Martini z Lodem,Marcin Siegienczuk,126.969,0.816,-6.912,0.883
Generous,Amber Mark,132.076,0.542,-6.652,0.493
Pressurelicious,Megan Thee Stallion;Future,146.972,0.723,-5.18,0.667
無人之境,Eason Chan,123.892,0.564,-7.224,0.278
Santa Cruzin',"Grover Washington, Jr.",99.645,0.639,-10.068,0.602
Runoff,Jobii,136.713,0.195,-16.514,0.0709
"I puritani, Act I: "" A te, o cara“ (Arturo)",Alfredo Kraus;Symphony Orchestra of Madrid;Kurt Sanderling,105.328,0.147,-10.808,0.102
Long Way Home (Tritonia 400),Tritonal;HALIENE;SCHALA;Jorza,129.913,0.77,-3.514,0.411
Symphony (feat. Zara Larsson),Clean Bandit;Zara Larsson,122.956,0.605,-5.128,0.454
Caminito - Remastered,Libertad Lamarque,111.087,0.101,-11.186,0.345
"Dance, Dance, Dance",The Beach Boys,148.202,0.844,-7.03,0.55
Värsta grymma tjejen,Magnus Uggla,133.986,0.887,-2.984,0.792
Spoonman,Soundgarden,186.054,0.904,-5.625,0.832
Djangologie,Babik Reinhardt,114.18,0.397,-11.936,0.663
Criado Em Galpão,Os Serranos,99.943,0.824,-5.208,0.474
Medallita De La Suerte,Alfredo De Angelis;Oscar Larroca,129.855,0.447,-5.644,0.725
You're Still On My Mind,George Jones,112.566,0.264,-16.31,0.779
Instagram,Dimitri Vegas & Like Mike;David Guetta;Daddy Yankee;Afro Bros;Natti Natasha;Dimitri Vegas;Like Mike,96.071,0.906,-2.097,0.95
Mam Tę Moc - z filmu „Kraina lodu”,Katarzyna Łaska,137.039,0.331,-11.481,0.274
Sin escrúpulos,Barilari,90.026,0.948,-3.909,0.359
História Para Ninar Gente Grande,Marquinho Art'Samba;De Mangueira,144.662,0.71,-8.115,0.853
Tear Down The Club - Original Mix,DJ Fixx,150.007,0.78,-5.429,0.297
Tô na Vaquejada,Biu do Piseiro,170.011,0.937,-4.438,0.805
Não Mais Escravos,Fredy Miller,73.085,0.684,-7.798,0.135
Privileged,Rotten Sound,115.061,0.969,-2.662,0.0657
Little Swing,AronChupa;Little Sis Nora,126.036,0.672,-5.532,0.598
Redemption Song,Bob Marley & The Wailers,115.871,0.256,-10.743,0.694
Love Story,Sarah Cothran,116.953,0.236,-8.297,0.256
Thenale,Pina Colada Blues;Nikita Uday;Farish Reheman,127.992,0.346,-15.099,0.148
Orbit 37,Rub!k,133.928,0.935,-3.03,0.387
Halloween,Siouxsie and the Banshees,171.75,0.91,-7.097,0.364
Broken - Album Edit,Evil Activities;Endymion;E-Life,167.005,0.907,-5.322,0.216
Suicide Letter 2,Trick James,82.999,0.604,-9.048,0.584
